MATRICULA   NOMBRE                           APPAT                            APMAT                            FECHA NAC    EDAD   SEXO      LUGAR NAC              CURP

300015      VALENTINA                        MARTINEZ                         ORTEGA                           10-08-1984   39     MUJER     NUEVO LEON             MAOV840810MNLRRL02
300023      MANUEL                           LARA                             NUNEZ                            30-12-1981   41     HOMBRE    SINALOA                LANM811230HSLRNN06
300024      PATRICIA                         MARTINEZ                         NAVARRO                          25-10-2007   16     MUJER     DISTRITO FEDERAL       MANP071025MDFRVTA6
300028      ISABEL                           ORTEGA                           SANCHEZ                          10-01-1989   34     MUJER     EXTRANJERO             OESI890110MNERNS01
300030      ANA                              TORRES                           TORRES                           07-06-1992   31     MUJER     ZACATECAS              TOTA920607MZSRRN09
300031      LUISA                            YEPIZ                            DIAZ                             28-01-2018   5      MUJER     YUCATAN                YEDL180128MYNPZSB6
300035      VALENTINA                        TORRES                           GUTIERREZ                        01-08-2001   22     MUJER     GUANAJUATO             TOGV010801MGTRTLA2
300036      SOFIA                            GUTIERREZ                        VEGA                             27-11-1992   30     MUJER     AGUASCALIENTES         GUVS921127MASTGF08
300039      PATRICIA                         GUERRERO                         HERNANDEZ                        21-06-1984   39     MUJER     CHIHUAHUA              GUHP840621MCHRRT00
300040      JOSE                             VEGA                             MENDOZA                          18-04-1987   36     HOMBRE    BAJA CALIFORNIA SUR    VEMJ870418HBSGNX04
300043      CARLOS                           RUIZ                             CRUZ                             09-08-1984   39     HOMBRE    MORELOS                RUCC840809HMSZRR03
300050      ANA                              MORALES                          VEGA                             14-07-2005   18     MUJER     DURANGO                MOVA050714MDGRGNA2
300055      MANUEL                           TORRES                           FUENTES                          02-11-2017   5      HOMBRE    PUEBLA                 TOFM171102HPLRNNB2
300059      ROBERTO                          FLORES                           ACOSTA                           24-12-2004   18     HOMBRE    CHIAPAS                FOAR041224HCSLCBA1
300064      PATRICIA                         PEREZ                            VEGA                             18-08-2015   8      MUJER     CHIHUAHUA              PEVP150818MCHRGTB4
300065      CARMEN                           LARA                             RODRIGUEZ                        20-09-2010   13     MUJER     PUEBLA                 LARC100920MPLRDRB6
300074      LUCIA                            FLORES                           CHAVEZ                           20-09-1994   29     MUJER     NAYARIT                FOCL940920MNTLHC01
300075      CARLOS                           VALDEZ                           NUNEZ                            04-05-2002   21     HOMBRE    ZACATECAS              VANC020504HZSLNRA0
300079      MANUEL                           NUNEZ                            YEPIZ                            06-11-1994   28     HOMBRE    COLIMA                 NUYM941106HCMNPN09
300086      ISABEL                           ROJAS                            VARGAS                           02-07-1995   28     MUJER     HIDALGO                ROVI950702MHGJRS02
300088      ALEJANDRO                        HERNANDEZ                        FERNANDEZ                        04-06-1990   33     HOMBRE    MORELOS                HEFA900604HMSRRL06
300095      DIANA                            RUIZ                             FUENTES                          03-02-2018   5      MUJER     JALISCO                RUFD180203MJCZNNB0
301003      CAROLINA                         GUTIERREZ                        FUENTES                          16-07-1992   31     MUJER     TLAXCALA               GUFC920716MTLTNR04
301015      JAVIER                           HERNANDEZ                        TORRES                           12-01-1995   28     HOMBRE    GUERRERO               HETJ950112HGRRRV00
301016      VALENTINA                        SOTO                             NAVARRO                          02-09-2005   18     MUJER     NAYARIT                SONV050902MNTTVLA1
301019      MONICA                           NAVARRO                          REYES                            13-06-1993   30     MUJER     GUERRERO               NARM930613MGRVYN04
301023      CARLOS                           TORRES                           MENDOZA                          12-05-2015   8      HOMBRE    PUEBLA                 TOMC150512HPLRNRB6
301027      JOSE LUIS                        ROMERO                           LOPEZ                            06-04-2006   17     HOMBRE    CHIAPAS                ROLL060406HCSMPSA3
301029      JAVIER                           LARA                             YEPIZ                            11-05-1984   39     HOMBRE    PUEBLA                 LAYJ840511HPLRPV03
301039      ELENA                            FERNANDEZ                        RUIZ                             07-12-2001   21     MUJER     TAMAULIPAS             FERE011207MTSRZLA3
301040      RAFAEL                           NUNEZ                            VALDEZ                           15-07-1983   40     HOMBRE    BAJA CALIFORNIA        NUVR830715HBCNLF03
301041      MONICA                           MARTINEZ                         RODRIGUEZ                        18-12-2011   11     MUJER     CAMPECHE               MARM111218MCCRDNB1
301043      LUCIA                            SILVA                            YEPIZ                            16-01-1985   38     MUJER     COLIMA                 SIYL850116MCMLPC03
301048      MARTA                            RUIZ                             VEGA                             25-06-2006   17     MUJER     MEXICO                 RUVM060625MMCZGRA6
301057      ALBERTO                          REYES                            CHAVEZ                           19-01-2007   16     HOMBRE    MORELOS                RECA070119HMSYHLA2
301080      ELENA                            GONZALEZ                         SILVA                            07-11-1998   24     MUJER     YUCATAN                GOSE981107MYNNLL05
301081      ALBERTO                          DIAZ                             ACOSTA                           03-06-2005   18     HOMBRE    SINALOA                DIAA050603HSLZCLA0
301083      ANA                              MORENO                           RODRIGUEZ                        28-04-1983   40     MUJER     QUERETARO              MORA830428MQTRDN00
301084      ANDRES                           MARTINEZ                         GUERRERO                         16-02-2005   18     HOMBRE    HIDALGO                MAGA050216HHGRRNA9
301085      LUCIA                            FLORES                           ZAPATA                           04-11-1999   23     MUJER     TAMAULIPAS             FOZL991104MTSLPC04
301093      CARMEN                           LOPEZ                            GOMEZ                            23-09-1986   37     MUJER     CHIAPAS                LOGC860923MCSPMR07
301094      JULIA                            GUTIERREZ                        LARA                             04-07-2014   9      MUJER     BAJA CALIFORNIA SUR    GULJ140704MBSTRLB4
302000      LUCIA                            ZAPATA                           GUERRERO                         15-06-2020   3      MUJER     TAMAULIPAS             ZAGL200615MTSPRCC4
302003      RAQUEL                           REYES                            MORALES                          05-08-2015   8      MUJER     MORELOS                REMR150805MMSYRQB2
302010      LOURDES                          SANCHEZ                          PEREZ                            13-04-1995   28     MUJER     TAMAULIPAS             SAPL950413MTSNRR01
302017      JUAN                             FERNANDEZ                        MARTINEZ                         13-09-1997   26     HOMBRE    MEXICO                 FEMJ970913HMCRRN08
302020      ELENA                            PEREZ                            GUERRERO                         29-01-2007   16     MUJER     SAN LUIS POTOSI        PEGE070129MSPRRLA3
302029      MONICA                           GUTIERREZ                        GUERRERO                         04-11-1999   23     MUJER     VERACRUZ               GUGM991104MVZTRN02
302033      FRANCISCO                        CHAVEZ                           SOTO                             09-04-1990   33     HOMBRE    PUEBLA                 CASF900409HPLHTR02
302037      ANA                              LARA                             VALDEZ                           20-12-2016   6      MUJER     HIDALGO                LAVA161220MHGRLNB8
302041      ELENA                            CASTRO                           ROMERO                           13-01-2000   23     MUJER     AGUASCALIENTES         CARE000113MASSMLA5
302046      LAURA                            CASTRO                           FUENTES                          29-09-2004   19     MUJER     COAHUILA               CAFL040929MCLSNRA4
302057      PEDRO                            YEPIZ                            MORENO                           13-10-1993   30     HOMBRE    VERACRUZ               YEMP931013HVZPRD04
302059      MIGUEL                           GUERRERO                         SANCHEZ                          26-11-2016   6      HOMBRE    HIDALGO                GUSM161126HHGRNGB4
302060      ANA                              NAVARRO                          SOTO                             18-01-1992   31     MUJER     TLAXCALA               NASA920118MTLVTN04
302067      ANDRES                           LOPEZ                            LARA                             07-01-1987   36     HOMBRE    MEXICO                 LOLA870107HMCPRN03
302071      SOFIA                            SILVA                            SANCHEZ                          21-05-1982   41     MUJER     SAN LUIS POTOSI        SISS820521MSPLNF07
302073      DIANA                            SANCHEZ                          GUERRERO                         19-03-1983   40     MUJER     TABASCO                SAGD830319MTCNRN00
302075      FERNANDO                         PEREZ                            FLORES                           26-07-1986   37     HOMBRE    AGUASCALIENTES         PEFF860726HASRLR04
302081      LUISA                            FLORES                           FUENTES                          14-06-1999   24     MUJER     QUERETARO              FOFL990614MQTLNS04
302083      PEDRO                            PEREZ                            PEREZ                            26-10-2018   5      HOMBRE    JALISCO                PEPP181026HJCRRDB1
302091      FERNANDO                         DIAZ                             RUIZ                             21-11-1987   35     HOMBRE    JALISCO                DIRF871121HJCZZR06
303000      CLARA                            DIAZ                             GUERRERO                         19-09-2017   6      MUJER     ZACATECAS              DIGC170919MZSZRLB2
303009      PEDRO                            DIAZ                             LARA                             04-04-2013   10     HOMBRE    SAN LUIS POTOSI        DILP130404HSPZRDB4
303014      ALEJANDRO                        MORALES                          VARGAS                           19-10-2003   20     HOMBRE    AGUASCALIENTES         MOVA031019HASRRLA0
303016      CAROLINA                         ORTEGA                           REYES                            03-03-1987   36     MUJER     COAHUILA               OERC870303MCLRYR09
